"nameWithOwner","description","tag"
"uptechteam/JASM","Just Another Side Menu for iOS. Written in Swift.","[""menu"",""side-menu"",""for"",""in"",""side""]"
"suominentoni/nearest-departures","Code for the Lähimmät Lähdöt Suomi/Nearest Departures Finland app for iOS and watchOS","[""watchos"",""ios"",""app"",""for"",""code"",""the"",""and"",""finland"",""departures""]"
"pro648/BasicDemos-iOS","iOS学习进程中的demo汇总","[]"
"ming1016/STMURLCache","iOS预加载Web页面方案","[]"
"afishhhhh/YUSegment","A customizable Segmented Control for iOS. Supports text and image.","[""text"",""segmented-control"",""customizable"",""control"",""for"",""a"",""and"",""segmented""]"
"iafine/HYAlertController","A Simple And Minimalist iOS AlertController ","[""ios"",""simple"",""minimalist"",""a"",""and"",""alertcontroller""]"
"surayashivji/potter-pics","harry potter themed social network similar to IG","[""network"",""social-network"",""social"",""themed"",""similar"",""to"",""potter"",""harry-potter""]"
"jjessel/JHTAlertController","A custom iOS alert that replaces the stock UIAlertController. Easily style the alert to match your app. Written in Swift for iOS.  ","[""swift"",""ios"",""alert"",""style"",""custom"",""stock"",""for"",""in"",""the"",""match"",""to"",""ios-alert"",""a"",""easily""]"
"vnil/react-native-simple-compass","React Native module for iOS used to receive the phones heading","[""ios"",""react-native"",""native"",""module"",""react"",""react-native-module"",""for"",""native-module"",""phones"",""receive"",""the"",""to"",""heading""]"
"netyouli/WHC_KeyboardManager","IOS lightweight keyboard manager, use simple and powerful, the keyboard will never block input controls. iOS轻量级的键盘管理器，使用简单功能强大，键盘再也不会挡住输入控件","[""keyboard"",""ios"",""block"",""input"",""simple"",""lightweight"",""the"",""and"",""will""]"
"urbanairship/ios-gimbal-adapter","The iOS Gimbal adapter for Urban Airship","[""ios"",""adapter"",""for"",""the""]"
"manuelescrig/RhythmBox","A Rhythm Box System for your iOS app written in Swift. 🎵","[""ios"",""system"",""app"",""ios-app"",""for"",""in"",""box"",""a"",""rhythm""]"
"rickytan/APNGImageSerialization","a warpper of APNG support for iOS","[""ios"",""for"",""apng"",""support"",""a""]"
"psharanda/vmc2","Evolution of MVC on iOS with examples. MVC, VIPER, MVVM, MVP","[""ios"",""mvp"",""mvc"",""with"",""on"",""evolution""]"
"imwangxuesen/JsenKit","JsenKit is iOS project common kit","[""ios"",""project"",""common"",""kit"",""ios-project""]"
"skylovely/ServerSync-iOS","Sync your app's time with server's UTC time","[""time"",""sync"",""with"",""utc""]"
"maxisme/notifi","A push notification application for multiple platforms","[""push-notification"",""push"",""application"",""notification"",""multiple"",""for"",""a""]"
"shorfng/iOS_14.1_Imitation-Bettalive","【Swift】iOS_14.1_仿斗鱼直播","[]"
"mofishli/react-native-refreshlistview","The refreshlistview can adapt Android&IOS，通用的组件，下拉刷新以及上拉加载","[""can"",""the""]"
"ankitduseja/react-native-boilerplate","A React Native boilerplate with a persist-able Redux store, Sagas for async operations & more. The goal is to maintain a quick-start, easy-to-learn boilerplate with cross platform support for iOS & Android. This repo is focused to keep it simple for new developers to join in.","[""ios"",""react-native"",""native"",""cross-platform"",""repo"",""this"",""join"",""redux"",""platform"",""simple"",""react"",""async"",""boilerplate"",""new"",""react-native-boilerplate"",""for"",""it"",""with"",""developers"",""support"",""the"",""sagas"",""cross"",""to"",""a"",""keep"",""easy-to-learn"",""operations"",""goal""]"
"MountainXiang/WEEXDemo","下载完毕后将此项目与官方Github中的sdk文件夹（位置:ios目录下）放在同一目录下，终端cd到当前项目所在目录,然后执行pod install即可！","[]"
"scinfu/SwiftSoup","SwiftSoup: Pure Swift HTML Parser, with best of DOM, CSS, and jquery (Supports Linux, iOS, Mac, tvOS, watchOS)","[""swift"",""html"",""jquery"",""best"",""with"",""and"",""pure-swift""]"
"TradingPal/react-native-highcharts","📈 Add Highcharts charts to react-native app for IOS and Android","[""ios"",""android"",""react-native"",""charts"",""add"",""highcharts"",""app"",""for"",""to"",""and""]"
"illuspas/libyuv-iOS","Build Google libyuv with xcodebuild for iOS ","[""ios"",""build"",""xcodebuild"",""google"",""for"",""with"",""libyuv""]"
"jpnurmi/qtstatusbar","StatusBar for Qt allows setting the status bar color and theme on Android and iOS.","[""android"",""qt"",""statusbar"",""theme"",""color"",""bar"",""setting"",""for"",""status"",""the"",""on"",""status-bar"",""and""]"
"talisk/react-native-banner-lite","A banner component with adsorption. Compatible with iOS and Android.","[""ios"",""banner"",""component"",""with"",""compatible"",""a"",""and""]"
"kosso/TiScreenRecorder","A simple Titanium iOS module for screen recording. ","[""ios"",""titanium"",""module"",""screen"",""simple"",""for"",""a""]"
"Nemocdz/CDZPicker","iOS中自定义一个PickerView，Objective-C","[]"
"KF5/KF5SDK-iOS2.0"," kf5 sdk for iOS2.0","[""sdk"",""for""]"
"Loud-Clear/ios-hub","Useful shared iOS components","[""ios"",""shared"",""components""]"
"anotheren/TrafficPolice","An iOS Network Traffic Counter, a Swift wrapper for ifaddrs.h","[""swift"",""ios"",""network"",""wrapper"",""for"",""traffic"",""a"",""an"",""swift-wrapper"",""network-traffic""]"
"tyrex-team/senslogs-ios","Record inertial sensors on iOS devices","[""ios"",""record"",""sensors"",""inertial-sensors"",""ios-devices"",""devices"",""on""]"
"fastlane-community/fastlane-plugin-aws_sns","fastlane plugin for creating AWS SNS platform applications for iOS and Android apps by @joshdholtz","[""ios"",""android"",""fastlane"",""platform"",""plugin"",""aws"",""apps"",""android-apps"",""fastlane-plugin"",""for"",""aws-sns"",""applications"",""sns"",""and""]"
"QKaiser/mobile-re","A small collection of scripts I use when reversing mobile applications.","[""mobile"",""scripts"",""collection"",""small"",""reversing"",""a"",""i""]"
"pandiaraj44/react-native-datepicker-dialog","This library provides the cross-platform components for to open the date picker dialogs in effective way. It uses the native DatePickerAndroid & DatePickerIOS components. It will work for both ios & android.","[""ios"",""date"",""native"",""cross-platform"",""this"",""picker"",""components"",""library"",""dialogs"",""effective"",""picker-dialogs"",""date-picker"",""open"",""for"",""it"",""in"",""the"",""work"",""to"",""will""]"
"GetuiLaboratory/getui-apicloud-ios","个推官方提供的推送SDK APICloud 插件（支持iOS）","[""apicloud""]"
"playgroundscon/Playgrounds","(WIP) The iOS app for the conference","[""ios"",""app"",""ios-app"",""conference"",""for"",""the""]"
"MinMao-Hub/macro_define","iOS常用宏定义总结","[]"
"taidypanda/OpenCVForiOS","a demo of openCV usage for iOS","[""ios"",""opencv"",""demo"",""for"",""usage"",""a""]"
"marceChow/-","Coding together with iOS or Swift.","[""ios"",""with"",""coding"",""together""]"
"helmrich/Kisetsu","Kisetsu is an iOS application that lets the user track and explore anime and manga.","[""ios"",""anime"",""application"",""track"",""user"",""the"",""ios-application"",""and"",""an"",""explore""]"
"stomt/universal-push-notifications","Web app template which can handle push notifications on most platforms","[""notifications"",""web"",""push"",""app"",""template"",""push-notifications"",""web-app"",""can"",""on"",""handle"",""app-template""]"
"kosso/titanium-postmessage-webview","WORK IN PROGRESS / PoC : Titanium modules for iOS and Android to expose 'postMessage' ability to fire events from remote HTML to a Titanium app JS","[""html"",""ios"",""android"",""events"",""titanium"",""progress"",""app"",""js"",""remote"",""poc"",""modules"",""work-in-progress"",""for"",""in"",""from"",""work"",""to"",""a"",""and"",""in-progress"",""fire""]"
"blokadaorg/blokada","The official repo for Blokada for Android and iOS.","[""android"",""repo"",""blokada"",""for"",""official"",""the"",""and""]"
"dbukowski/DBDebugToolkit","Set of easy to use debugging tools for iOS developers & QA engineers.","[""ios"",""set"",""debugging"",""qa"",""tools"",""easy-to-use"",""debugging-tools"",""easy"",""for"",""developers"",""to""]"
"jpsim/Yams","A Sweet and Swifty YAML parser.","[""yaml"",""sweet"",""a"",""and"",""swifty""]"
"themasterapp/master-app-ios","iOS Adapter for the Master App","[""ios"",""adapter"",""app"",""for"",""the"",""master""]"
"vonovak/react-native-bottom-toolbar","UI Bar in javascript for react native","[""javascript"",""react-native"",""native"",""ui"",""react"",""bar"",""for"",""in""]"
"arthurschiller/CompositingFilters","Little Swift experiment to play with blend modes on CALayers in iOS.","[""swift"",""play"",""experiment"",""with"",""in"",""to"",""on"",""calayers""]"
"aesthetic-suite/framework","🎨 Aesthetic is an end-to-end multi-platform styling framework that offers a strict design system, robust atomic CSS-in-JS engine, a structural style sheet specification (SSS), a low-runtime solution, and much more!","[""styling"",""style"",""framework"",""design"",""multi-platform"",""css-in-js"",""low-runtime"",""robust"",""sheet"",""specification"",""end-to-end"",""a"",""and"",""an"",""strict"",""atomic""]"
"Stitch7/Tetromino","One of my favorite games implemented for iOS, macOS + CLI","[""macos"",""cli"",""games"",""for"",""one"",""favorite""]"
"BlackSourceLabs/BlackNectar-iOS","BlackNectar for iOS","[""ios"",""for""]"
"paterik/udacity-ios-on-the-map","udacity.com student submission project ""OnTheMap"" for course ND003 / iOS Developer","[""ios"",""project"",""student"",""course"",""for"",""developer"",""submission"",""ios-developer""]"
"aryankashyap0/AKJailbreakDetection","A Jailbreak Detection Library for iOS","[""ios"",""jailbreak"",""detection"",""library"",""detection-library"",""for"",""a"",""jailbreak-detection""]"
"freesuraj/Bulldog","Simple yet powerful json parser for iOS and Mac","[""json"",""ios"",""json-parser"",""simple"",""mac"",""parser"",""for"",""powerful"",""and""]"
"seyhunak/Router","Better Routing for IOS Applications with Router in Swift","[""swift"",""ios"",""router"",""routing"",""for"",""with"",""in"",""applications""]"
"hussien89aa/iOSAppDevelopment","step by step to start build apps with iOS 10 and swift 3","[""swift"",""ios"",""build"",""apps"",""step"",""swift-3"",""with"",""3"",""to"",""and"",""start"",""10"",""ios-10""]"
"RemoteDebug/remotedebug-ios-webkit-adapter","Debug Safari and WebViews on iOS from tools like VS Code and Chrome DevTools","[""ios"",""safari"",""tools"",""debug"",""chrome"",""devtools"",""like"",""vs"",""code"",""from"",""on"",""and"",""chrome-devtools""]"
"dwqs/react-native-image-viewer","A pure JavaScript image viewer component for react-native apps with pan, pinch.etc, supporting both iOS and Android.","[""ios"",""javascript"",""image"",""react-native"",""apps"",""viewer"",""component"",""for"",""with"",""image-viewer"",""pure-javascript"",""a"",""and""]"
"lyntel/libev-compile-ios-android","libev Android ios 编译","[""ios"",""android"",""android-ios""]"
"LaurentiuUngur/LUExpandableTableView","A subclass of UITableView with expandable and collapsible sections","[""uitableview"",""sections"",""subclass"",""expandable"",""with"",""collapsible"",""a"",""and"",""collapsible-sections""]"
"williamFalcon/sensory","iOS Sensors app","[""ios"",""sensors"",""app""]"
"shoaibcheema/Interactive","InteractiveViewController for iOS, written in swift","[""swift"",""for"",""in""]"
"subho007/ios-vnc","Saurik's Fork","[""fork""]"
"Kishimotovn/iOSMathSwift","Swift version of iOSMath to parse latex","[""swift"",""version"",""parse"",""latex"",""to""]"
"bkalem/ansible","Découvrir avec Bilal Kalem, CEO www.ios.dz le monde DevOps","[""devops""]"
"jthuraisamy/titanium-asset-extractor","""Decompile"" Titanium-built iOS apps via Frida.","[""ios"",""apps""]"
"holagoldfish/H5APP","H5 app 支持安卓,ios","[""app"",""h5"",""h5-app""]"
"lsmakethebest/LSChangeLocation","仅适用于修改iOS微信朋友圈，空间照片的位置，经纬度可以自己随便写","[]"
"KenanAtmaca/KAlertBox","İOS Beautiful Animated Alert Box","[""alert"",""animated"",""beautiful"",""box""]"
"bolencki13/libAPTObjc","libAPTObjc ~ libApt-pkg written in Objective-C for jailbroken iOS","[""objective-c"",""ios"",""for"",""in"",""jailbroken"",""libapt-pkg""]"
"Rifinio/UsabillaDashboard","My implementation of the Usabilla ios challenge","[""ios"",""implementation"",""challenge"",""the""]"
"PimCoumans/Foil","Basic 2D wrapper for Metal on iOS and macOS written in Swift","[""swift"",""ios"",""macos"",""metal"",""2d"",""basic"",""wrapper"",""for"",""in"",""on"",""and""]"
"Onix-Systems/RainyRefreshControl","Simple refresh control for iOS based on SpriteKit and Core Graphics","[""ios"",""graphics"",""refresh"",""core-graphics"",""simple"",""core"",""control"",""for"",""based"",""on"",""and"",""spritekit""]"
"pxhmeiyangyang/iOS_tableview_spread","使用swift4.0实现的一个tableView展开列表的功能","[]"
"meilbn/MLBPasswordTextField","A custom password input like WeChat payment for iOS.","[""input"",""payment"",""wechat"",""password"",""custom"",""for"",""like"",""wechat-payment"",""password-input"",""a""]"
"STShenZhaoliang/Framework-iOSAPP","详细的静态库打包APP的方案，便于多APP集成","[]"
"Dimillian/LittleOrion","Master of Orion like for your iOS devices, for now it's mostly nothing... ","[""ios"",""for"",""like"",""master"",""now""]"
"mopduan/ios-emoji-webpng","搜狗iOS系统表情跨平台展示解决文案","[]"
"iflamed/cordova-wechat-timeline-share","分享多图到微信朋友圈，iOS使用UIActivityViewController, Android 使用Intent 直接调用","[""android""]"
"tipsi/native-store","Native store for react-native","[""react-native"",""native"",""store"",""for""]"
"Itomori/mydiary","myDiary app in movie 'Your Name.' (2016), android (& iOS ver.?), based on HBuilder.","[""ios"",""android"",""app"",""movie"",""in"",""based"",""on""]"
"bojan/Thingy","A modern device detection and querying library.","[""device"",""detection"",""modern"",""a"",""and"",""device-detection""]"
"GD1207/PingMonitor","iOS测试网络的ping值，用的国外大神封装的‘STPing’，检测五秒，简单改一下就能动态检测，跟游戏应用测网络要求一样的效果。ok","[]"
"georgemakrakis/LazyRoommate","A cross-platform application using Xamarin for household activities scheduling.","[""xamarin"",""cross-platform"",""application"",""household"",""for"",""activities"",""using"",""a""]"
"zalando/SwiftMonkey","A framework for doing randomised UI testing of iOS apps","[""ios"",""testing"",""ui"",""apps"",""framework"",""ui-testing"",""for"",""a""]"
"EdgeApp/edge-react-gui","Edge Wallet React Native GUI for iOS and Android","[""ios"",""android"",""react-native"",""native"",""react"",""wallet"",""gui"",""for"",""edge"",""and""]"
"ksvc/ksyhttpcache_ios","金山云ios平台http缓存SDK，可方便地与播放器集成，实现http视频边播放边下载（缓存）功能。ksyun http cache sdk for ios platform, it's easy to integrated with media players to provide caching capability when watching http videos.","[""sdk"",""ios"",""http"",""caching"",""media"",""cache"",""players"",""easy"",""for"",""with"",""to"",""media-players"",""sdk-for-ios""]"
"herbsun/OKKLineSwift","Draw the K-Line by Swift, support iOS & macOS","[""ios"",""draw"",""macos"",""support"",""the"",""k-line""]"
"minetsh/PopupMenuView","A view just like UIMenuController of iOS, 一个类似iOS中弹框气泡菜单的控件","[""view"",""uimenucontroller"",""like"",""a""]"
"woodjme/vscode-cisco-syntax","Cisco IOS Syntax Highlighting for Visual Studio Code","[""ios"",""visual-studio"",""syntax"",""visual-studio-code"",""highlighting"",""syntax-highlighting"",""for"",""studio"",""code"",""visual"",""cisco-ios"",""cisco""]"
"lbrndnr/ImagePickerTrayController","The iOS 10 version of ImagePickerSheetController","[""ios"",""version"",""the"",""10"",""ios-10""]"
"erdtman/spotify-ios-metadata","Objective-C Wrapper for the Spotify web-api.","[""objective-c"",""spotify"",""wrapper"",""for"",""the""]"
"silencesmile/CustomIOSAlertView","iOS自定义AlertView","[]"
"beeminder/BeeSwift","Official Beeminder for iOS app","[""ios"",""app"",""ios-app"",""for"",""official""]"
"ChenJian345/LzmaSDKOjbcFramework","A LZMA compress Framework use by iOS platform. Based on LzmaSDKObjC","[""ios"",""framework"",""compress"",""based"",""on"",""a"",""lzma""]"
"kingly09/KYBarrageKit","This is a barrage of rendering library iOS high expansion, for most of the live broadcasting barrage scene.","[""ios"",""rendering"",""this"",""library"",""live"",""for"",""broadcasting"",""barrage"",""the"",""a"",""high""]"
"hansemannn/Ti.Realm","🗃 Use the Realm iOS-SDK with Titanium Mobile.","[""realm"",""titanium"",""ios-sdk"",""with"",""the""]"
"starkMark/JCParallaxScrollBanner","iOS OC Banner Parallax (视差无限轮播)","[""ios"",""banner"",""parallax"",""oc""]"
"sunhongyue4500/HYElevation","iOS-based elevation library.","[""elevation""]"
"amap-demo/iOS-place-search","iOS-place-search","[]"
"louisdh/sierpinski-curve-swift","Generates a Sierpiński curve using a turtle mechanism in Swift.","[""curve"",""in"",""turtle"",""using"",""a""]"
"Sanchain/iOS-Tools-VerificationCodeCountdown","iOS 工具类 - 验证码倒计时","[""ios""]"
"vectorform/Yarp","Yarp (Yet another reachability pod) is a reachability framework with a focus on reliability and simplicity. ","[""focus"",""reachability"",""framework"",""with"",""on"",""a"",""and"",""reliability""]"
"Kpitolin/iMNIST","iMNIST is an iOS app that recognizes the digits you draw using a trained TensorFlow CNN.","[""ios"",""draw"",""tensorflow"",""app"",""ios-app"",""digits"",""the"",""using"",""a"",""an""]"
"molayab/spotify-fft","This repository is a simple iOS application that uses Spotify SDK to stream music and reads stream buffer to apply FFT frecuency split.","[""sdk"",""ios"",""buffer"",""stream"",""this"",""spotify"",""repository"",""fft"",""music"",""simple"",""application"",""spotify-sdk"",""to"",""ios-application"",""a"",""and""]"
"AndroidMsky/AndoirdIOSPicker","安卓仿ios风格时间选择器,日期选择器,自定义选择器","[]"
"plu/pxctest","Execute tests in parallel on multiple iOS Simulators","[""ios"",""tests"",""simulators"",""multiple"",""parallel"",""in"",""on"",""execute""]"
"wpcfan/awesome-tutorials","I am going to write a series of tutorials about web/android/ios development","[""write"",""series"",""tutorials"",""development"",""about"",""to"",""a"",""am"",""i""]"
"CoderDuMeng/MMLayout-","ios Layout ","[""ios"",""layout""]"
"russo-programmisto/StyleKit","CSS for iOS","[""ios"",""css"",""for""]"
"xujingzhou/CustomVideo","Customize video, photo, animation, music, border etc...","[""border"",""customize""]"
"kajinka13/gba4ios","GBA4iOS mirror working on iOS 10. It's an emulator of GameBoy Advance console for Apple iPhone.","[""ios"",""console"",""apple"",""mirror"",""emulator"",""for"",""gameboy"",""working"",""advance"",""on"",""gameboy-advance"",""an""]"
"LSure/SureGuideView","一劳永逸，iOS引导蒙版封装流程","[]"
"appcoda/GoogleAdMobDemo","A Simple Demo for AdMob in iOS Using Swift","[""swift"",""ios"",""admob"",""simple"",""demo"",""for"",""in"",""using"",""a""]"
"mythkiven/MKAppKit","iOS开发常用组件库、性能监控、crash 防护、debug调试等","[]"
"amap-demo/iOS-switch-map","根据地图中心点是否在国内切换高德地图和苹果地图","[]"
"LSure/MultipeerConnectivityDemo","iOS被遗忘的近距离通讯利器-MultipeerConnectivity","[]"
"hansemannn/ti.keyframes","🖼 Support for the @facebook Keyframes library in Titanium","[""titanium"",""library"",""keyframes"",""for"",""in"",""support"",""the"",""keyframes-library""]"
"krizhanovskii/KKStringValidator","Swift String Validator. Simple lib for ios to validate string and UITextFields text for some criterias","[""swift"",""string"",""ios"",""text"",""lib"",""simple"",""for"",""to"",""and"",""some"",""validate""]"
"Saritasa/ios-development-guides","iOS Development at Saritasa","[""ios"",""development"",""ios-development""]"
"muak/AiForms.Effects","AiForms.Effects for Xamarin.Forms","[""xamarin.forms"",""for""]"
"amap-demo/iOS-location-circle","iOS-location-circle","[]"
"alemar11/Mechanica","A cross-platform library of Swift utils to ease your iOS | macOS | watchOS | tvOS and Linux development.","[""watchos"",""swift"",""ios"",""linux"",""macos"",""tvos"",""cross-platform"",""library"",""utils"",""to"",""a"",""ease"",""and""]"
"YtenSoftware/Nety","Parse, Audit, Query, Build, and Modify Cisco IOS-style configurations","[""ios-style"",""cisco"",""and"",""modify""]"
"RudyB/BulldogBucks","An iOS and watchOS app developed for Gonzaga University students to check their Bulldog Buck balance ","[""watchos"",""ios"",""app"",""university"",""balance"",""check"",""students"",""buck"",""for"",""to"",""and"",""an"",""watchos-app""]"
"softwarenerd/Stately","A pure Swift framework for iOS, macOS, watchOS, and tvOS that implements an event-driven finite-state machine.","[""swift"",""tvos"",""swift-framework"",""framework"",""event-driven"",""for"",""a"",""and"",""an"",""pure-swift""]"
"marlonxlj/ScreenMatching","iOS屏幕自动适配和颜色转换成十六进制","[]"
"jsbean/AudioTools","Framework of audio tools for iOS and macOS applications, built on top of [AudioKit](github.com/AudioKit/AudioKit)","[""ios"",""audio"",""macos"",""framework"",""tools"",""for"",""on"",""and"",""top""]"
"prabhjot-singh-gogana/PSInAppPurchase","Block based store kit manager for In-App Purchase for iOS 7, 8, 9 and 10 with receipt validation. Please note that you must have iTunes Connect set up correctly with some IAPs already. Do the In app Purchase just with one line. Swift 3 supported","[""swift"",""ios"",""in-app-purchase"",""itunes"",""set"",""block"",""connect"",""in-app"",""store"",""app"",""purchase"",""manager"",""receipt"",""note"",""for"",""swift-3"",""with"",""in"",""3"",""kit"",""the"",""based"",""one"",""and"",""some"",""do"",""10"",""itunes-connect""]"
"swift365/CFProgressHUD","CFProgressHUD is an iOS drop-in class that displays a translucent HUD with an indicator and/or labels while work is being done in a background thread. The HUD is meant as a replacement for the undocumented, private UIKit UIProgressHUD with some additional features.","[""ios"",""background"",""class"",""uikit"",""private"",""indicator"",""drop-in"",""hud"",""labels"",""translucent"",""for"",""with"",""in"",""the"",""as"",""work"",""a"",""an"",""some""]"
"HeroTransitions/Hero","Elegant transition library for iOS & tvOS","[""ios"",""transition"",""tvos"",""library"",""for"",""elegant""]"
"wix/react-native-paged-contacts","Paged contacts for React Native","[""react-native"",""native"",""contacts"",""react"",""for"",""paged""]"
"shijingsh/react-native-customized-image-picker","iOS/Android image picker with support for camera, video compression, multiple images and cropping","[""video"",""image"",""picker"",""images"",""image-picker"",""cropping"",""multiple"",""for"",""with"",""support"",""and""]"
"giulio92/GLTableCollectionView","Netflix and App Store like UITableView with UICollectionView, written in pure Swift 4.2","[""swift"",""uitableview"",""app-store"",""store"",""app"",""with"",""in"",""like"",""netflix"",""and"",""pure-swift""]"
"NirbyApp/cordova-plugin-edit-plist-file","A cordova plugin that helps developers edit the iOS's *-info.plist file","[""file"",""cordova"",""edit"",""plugin"",""cordova-plugin"",""developers"",""the"",""a"",""helps""]"
"EyreFree/CodingEmoji","Coding Monkey - iMessage Stickers.","[""imessage"",""monkey"",""coding""]"
"nicoschuele/PieceOfKit","Useful tools for iOS Swift developers","[""swift"",""ios"",""tools"",""ios-swift"",""for"",""developers""]"
"moorinl/react-native-share-actions","React Native show share actions for Android and iOS","[""ios"",""android"",""react-native"",""native"",""share"",""react"",""for"",""actions"",""show"",""and""]"
"Sunnyyoung/IconMan","Generating iOS/macOS/watchOS icon more easier.","[""icon""]"
"crexista/KabuKit","Simple & Tiny iOS/mac os Application Framework","[""simple"",""framework"",""application"",""os"",""application-framework"",""tiny""]"
"bingly/AvSamplePlayer_TUTK","tutk音视频播放的demo（iOS平台），能够正常使用，需要将uid换成自己摄像头的","[]"
"yadottoday/QHKeyboard","iOS自定义键盘","[]"
"minipeach/ios_tools","ios_tools","[]"
"qianlishun/BluetoothDemo","Bluetooth SDK(demo) for iOS ","[""ios"",""bluetooth"",""for""]"
"daniel-barros/TemporaryAlert","Temporary alerts for iOS similar to those in Apple's Music app.","[""ios"",""music"",""alerts"",""for"",""in"",""similar"",""to""]"
"qingluanchou/RRChartView","Charts For iOS绘制各种曲线","[""charts"",""for""]"
"KalpeshTalkar/DragDropBoard","This is a POC for drag and drop items between UITableViews. This project is built using the BetweenKit framework available here: https://github.com/ice3-software/between-kit","[""drag-and-drop"",""project"",""this"",""drag"",""items"",""framework"",""drop"",""poc"",""for"",""the"",""using"",""a"",""and""]"
"unicornRainbows/react-native-Rainbow-graph","React-Native 0.38 Animated Colorful SVG Graph Component for both iOS and Android","[""ios"",""android"",""react-native"",""graph"",""svg"",""component"",""colorful"",""animated"",""for"",""and""]"
"keygx/RapidFire","Easy to use networking library in Swift.","[""networking"",""library"",""easy-to-use"",""easy"",""in"",""to""]"
"TimOliver/RealmBrowser-iOS","A native iOS debugging framework for introspecting Realm files on device","[""ios"",""realm"",""native"",""debugging"",""device"",""framework"",""files"",""for"",""on-device"",""on"",""a""]"
"mattrajca/MNIST","Getting Started with Deep MNIST and TensorFlow on iOS","[""ios"",""tensorflow"",""mnist"",""getting-started"",""with"",""on"",""and"",""deep""]"
"EyreFree/VSCAM","DEPRECATED","[""deprecated""]"
"amap-demo/iOS-location-rotation-effect","定位图标旋转","[]"
"iVanPan/react-native-qqsdk","A React Native wrapper around the Tencent QQ SDK for Android and iOS. Provides access to QQ ssoLogin, QQ Sharing, QQZone Sharing etc","[""sdk"",""android"",""react-native"",""native"",""sharing"",""react"",""wrapper"",""qq"",""tencent"",""qqzone"",""for"",""the"",""access"",""etc"",""to"",""a"",""and""]"
"tzsk/push","Pushwoosh (Android & iOS) for Laravel 5","[""laravel"",""laravel-5"",""pushwoosh"",""for"",""5""]"
"ZaidPathan/SpeechKitManager","iOS 10 SpeechKit framework made easy, 🎙to 🔠 && 📼 to 🔠","[""ios"",""framework"",""to"",""made"",""10"",""ios-10""]"
"ferusinfo/OctoAPI","Octo is a JSON API abstraction layer built on top of Alamofire for your iOS projects written in Swift 3+","[""json"",""swift"",""alamofire"",""ios"",""api"",""layer"",""json-api"",""projects"",""for"",""octo"",""in"",""abstraction"",""on"",""abstraction-layer"",""a"",""top""]"
"dheina/DLPinchableView","DLPinchableView is Custom Library for iOS written in Objective-C. Pinch, Rotate, And Pan your UIImageVIew","[""ios"",""uiimageview"",""pan"",""library"",""custom"",""for"",""in"",""and"",""custom-library""]"
"karolzak/xamarin-mvvmcross-and-web-service-sample","This is a sample LOB application for iOS, Android and Windows UWP, written with Xamarin Native approach","[""android"",""xamarin"",""native"",""windows"",""this"",""sample"",""application"",""for"",""with"",""a"",""and""]"
"bakkenbaeck/daylight-ios","A beautiful app that will let you know how much sun you have today.","[""app"",""beautiful"",""know-how"",""a"",""how"",""will""]"
"weiza-paradise/QuanminTv_iPhone","iOS(直播) 高仿全民TV ","[]"
"KyoheiG3/GridView","Reusable GridView with excellent performance and customization that can be time table, spreadsheet,  paging and more.","[""gridview"",""performance"",""time"",""customization"",""paging"",""can"",""with"",""and"",""reusable""]"
"xiaozhuxiong121/PGNetworkHelper","PINCache做为AFNetworking缓存层，将AFNetworking请求的数据缓存起来,支持取消当前网络请求，以及取消所有的网络请求，除了常用的Get，Post方法，也将上传图片以及下载文件进行了封装，同样支持同步请求，使用方法极其简单。","[]"
"zevarito/PodRTC","Unofficial build of WebRTC for IOS platform","[""ios"",""webrtc"",""build"",""platform"",""unofficial"",""for""]"
"Molbie/Outlaw","JSON mapper for macOS, iOS, tvOS, and watchOS","[""watchos"",""json"",""mapper"",""for"",""and"",""json-mapper""]"
"akaimo/LNFloatingActionButton","Easy to customize Floating Action Button","[""floating-action-button"",""button"",""action"",""floating"",""customize"",""easy"",""to""]"
"emenegro/space-cells-ios","Exercising collection view loading, configuration and interaction on iOS VIPER architecture.","[""ios"",""configuration"",""view"",""viper"",""collection"",""on"",""interaction"",""and"",""collection-view"",""ios-viper""]"
"zhangyqyx/appFont","iOS自带的字体","[]"
"donpark/VisualTouch","Makes iOS touch events visual.","[""ios"",""touch"",""events"",""touch-events""]"
"LittleLyn/Tuzzi-OpenGL-ES-3.0-Tutorials","📱This is OpenGL ES 3.0 tutorials written by Objective-C and C++. 😁For now, you can run all of project on iOS.","[""objective-c"",""opengl-es"",""project"",""opengl-es-3.0"",""opengl"",""tutorials"",""can"",""es"",""on"",""and""]"
"PaulBatchelor/GROWL","Formant filter inspired by the HOWL iOS app by Daniel Clelland","[""ios"",""filter"",""app"",""ios-app"",""the"",""formant""]"
"chaorong2015/react-native-image-water","ios系统：给图片加九宫格位置水印，并新建相册保存到本地；重新初始化图片大小。","[]"
"tattn/ios-architectures","Sample app for iOS architectures","[""ios"",""app"",""sample-app"",""sample"",""for"",""architectures"",""ios-architectures""]"
"koncina/iosp","IOSlides Plus","[""plus"",""ioslides""]"
"open-eid/MOPP-iOS","RIA DigiDoc iOS application that can be used to sign digitally with ID-card, mobile-ID and Smart-ID, check the validity of digital signatures and open, save and share documents with the mobile phone.","[""ios"",""mobile"",""share"",""save"",""signatures"",""application"",""check"",""sign"",""digital"",""can"",""with"",""the"",""documents"",""to"",""ios-application"",""and""]"
